MMSI,BaseDateTime,LAT,LON,SOG,COG,Heading,VesselName,IMO,CallSign,VesselType,Status,Length,Width,Draft,Cargo,TranscieverClass;
367138360,2020-01-01T00:00:08,30.21889,-93.25810,0.0,-157.5,511.0,ENERGY ZEUS,IMO9397377,WDD3941,31,5,29,10,3.7,52,A;
367638590,2020-01-01T00:00:10,29.65256,-91.27026,6.1,-140.9,246.0,DENNIS CHAMBERS,,WDH6497,90,5,21,9,,,B;
367333720,2020-01-01T00:00:09,40.01383,-79.92707,0.0,16.5,43.0,LUCIANA MOORE,,WDH3359,31,0,31,8,,,B;
"367523350,2020-01-01T00:00:13,34.97275,-90.29045,11.6,130.8,125.0,BIG ""D"",,WDG3181,31,0,40,,,,B";
366958450,2020-01-01T00:00:16,27.81875,-97.47339,6.2,-123.5,284.0,ANNAPOLIS,,WCY7799,31,0,21,9,,57,B;
367473530,2020-01-01T00:00:13,32.91077,-79.94482,0.1,72.1,511.0,ISLAND TIDE,IMO8992479,WDF6369,31,0,16,7,,31,B;
367552890,2020-01-01T00:00:16,25.31267,-80.28100,0.0,-160.9,511.0,BLUE RIDGE,,WDG6041,37,0,28,,,,B;
367090310,2020-01-01T00:00:19,27.81964,-97.02332,0.1,104.6,511.0,SUN OF MAN,,WDC8620,60,0,33,7,,,B;
338215875,2020-01-01T00:00:25,32.70606,-117.16639,0.0,145.0,511.0,ANAIS,,,37,,,,,,B;
316002065,2020-01-01T00:00:27,41.49147,-81.69983,0.0,-58.3,154.0,PETITE FORTE,IMO6826119,CFG3677,31,5,38,10,4.4,,A;
367486640,2020-01-01T00:00:47,57.05917,-135.35475,0.0,-97.3,511.0,QB,,WDF7647,37,,13,4,,,B;
367520270,2020-01-01T00:00:50,31.66112,-91.40031,9.4,180.4,182.0,PATRIOT,,WDG2884,31,12,29,,,,B;
367430810,2020-01-01T00:00:52,27.84314,-97.07616,0.0,111.7,511.0,MISS BECKY,IMO8987307,WDF2693,31,5,25,8,2.7,,A;
367087370,2020-01-01T00:00:01,41.63453,-70.91811,0.2,149.2,511.0,TREMONT,IMO7037849,WDC8455,0,0,0,0,4.5,0,B;
366978440,2020-01-01T00:00:02,46.75386,-92.09402,0.0,-102.5,511.0,MISSOURI,,WAI9279,31,0,26,7,,52,B;
319003900,2020-01-01T00:00:00,26.06047,-80.13119,0.0,-52.5,1.0,UNBRIDLED,IMO9526318,ZCXS6,37,5,58,10,2.7,,A;
367721010,2020-01-01T00:00:05,40.12125,-79.86534,0.3,-146.8,511.0,MARY ROSE,,WDI6668,31,0,21,,,,B;
367015670,2020-01-01T00:00:05,41.63585,-70.90717,0.0,-152.7,511.0,RAINBOW,IMO8987345,WDC3878,31,0,26,9,,52,B;
367692120,2020-01-01T00:00:07,29.78501,-95.07061,3.3,39.1,36.0,KATHLEEN DUPRE,,WDI3806,31,0,22,,,,B;
367002220,2020-01-01T00:00:00,38.56203,-121.54581,0.0,0.0,511.0,DORINE BRUSCO,IMO8034851,WDC3068,31,0,30,8,3.9,,B;
357743000,2020-01-01T00:00:00,27.01594,-79.27695,11.3,184.9,185.0,BRIGHT OCEAN III,IMO9615327,3EZD9,70,0,177,28,10.9,79,B;
